Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
......953....8.......9.46..2....183.6....9....5.....963.1..6.48....2......2..81..,25,41,14,3,0,1,0,1,0,Expert,
...1..........9.326.....7........6..3....7.4..74..39...9...82...27.1...4.8.4..3..,24,54,3,0,0,0,0,0,0,Easy,
......89.3.1...2.....9....6....53....2.86..3.46......2.......6.....1.4.92.5...1..,23,81,16,1,0,6,0,6,10,Expert,
5.2....3...34..1..6.79....2...3.....7..24.3..4...61...1.5.2...9...19.6.........2.,26,60,20,2,1,2,1,6,6,Expert,
93.216....6..8............23..5......19.2...3.2.........6.....7....956...57.3..28,25,46,14,0,0,0,0,2,2,Expert,
...4.3.2.....7......712..3...23.1.9.71.6...8.........2.94.8......39...6..6....81.,26,44,11,0,0,0,0,0,0,Easy,
.12.6..59.5.8.9..6..4..3..2...95..4.......6.5..1....3..2..485...98...............,25,40,16,2,0,2,0,0,0,Intermediate,
...12.....21..7..9...3...4....5...64.56.......492..1..9..........5.7..1.7....6.3.,24,36,20,2,2,0,0,1,0,Expert,
.1..38.6.98..4.21.4.69.2.3..4.16...........9.6....3........9..4....2....2..5..38.,27,50,4,0,0,0,0,0,0,Easy,
..312........8.7..86.9.......1.......8.....3..9.8.....7.6.....2....47..6.24..318.,24,54,3,0,0,0,0,0,0,Easy,
...26...1....14.5..3...8..2.6..........73.4.8.....5...375..2....2..5....68.4...1.,25,43,13,1,0,0,0,0,0,Intermediate,
.2......19..1...52......7.....2.....47..3..9.....7.1...4.59..783...174.9....2....,25,40,14,0,0,0,0,2,0,Expert,
4.9.1.......6..54...1.7.2..8...6.7..59...1....1...26..12....4....5....267........,25,29,25,2,0,1,0,2,0,Expert,
.5.6....3..2..5.4........654...27.3..6...3.....91...2.....9.4..9..71....7.13.....,25,48,8,0,2,3,1,0,0,Intermediate,
23...8....8..4..72..67..59.....52.....3..4...6..3.......2......7......5...56..4.9,24,48,9,0,0,0,0,0,0,Easy,
.2.......817..2..........5...1.54.9.........6.59....84...8.7.1..6...5..7..86...49,25,44,12,0,0,0,0,0,0,Easy,
.5.4...32...3...79...2....427..8.....1..2.4.5...1.5.....7..9...483..7.9..9.8.....,27,37,17,0,0,0,0,0,0,Easy,
.8...421.6...9.....5...2..8..2.......64.8.1.5...6..4.....4.....9.....5.3...3.1.2.,24,34,23,0,0,0,0,0,0,Easy,
781..2...2...9..7..........4......2....8...3.35..4....9.21..38..4...8..7.7......5,24,41,16,0,0,0,0,0,0,Easy,
..6......7..463...18..5........15..8..........5.2..6....76.2..43......678....152.,25,33,23,0,0,0,0,0,0,Easy,
4....79...2.......7.8......95.........7...4..8...961.76...7.5..2...68.7.1.5.4..9.,26,51,4,0,0,0,0,0,0,Easy,
5...3.....3...9.17......8..8....7.......1.7463........7.5.8.4.1....9..6..9...5..3,24,52,16,2,0,0,0,2,2,Expert,
..9.....1.5........4.3....9.....1...8...52.9.3...9..8421...8.5..36..521..........,24,22,35,0,0,0,0,0,0,Easy,
..9.14..6....9.47..4..67.2.6.1.....3..4.........57..4.5........9.31.65....6......,25,38,18,0,0,0,0,0,0,Easy,
...2..5..7...53..4..51.8..3........8.........8.3.....74...8..1..6..3.4.2..17.2.85,26,40,15,0,0,0,0,0,0,Easy,
..5..84.......7....1.6.47297..9.1...........5......671...5..98..9.7.6....4.....1.,25,115,20,5,2,3,0,17,30,Expert,
9....76.3.53..94...6.....5........742...765...45...8.683.........4.2.7..5.2......,27,51,11,0,1,0,1,2,2,Expert,
...95....3.2........96.1.....6.4.......2.6...23.5...9..9548.3.1....9..4..1...28..,26,38,17,1,1,0,0,0,0,Intermediate,
..7.49615..8.6147..........1.93......759...8....4.7..1.......5..86...9....4.....7,27,47,7,0,0,0,0,0,0,Easy,
.1..3.........97.5...2......3..1.......3..8.....5..6.7...7.6..2.81......9.78....6,22,42,17,0,0,0,0,0,0,Easy,
....3.9..5.9.......3..4....9.....58..2.18..4...6..92.3..52..8...8..56....1.3.....,25,60,10,1,0,1,0,2,2,Expert,
.2.5.......763......9.8.53..6....8......95.....5.1.3978......2...1.6.......7.3.1.,25,52,4,0,0,0,0,0,0,Easy,
..8...9.1.6.1.....3.2..7........6..2........8......67..59.8....1...73.2...79..16.,24,40,17,0,0,1,0,0,0,Intermediate,
...1598..4..6.......1.......1......2..9.3.....82.....4.364...2.8..5.13.6..5.8...9,26,49,6,1,0,0,0,0,0,Intermediate,
.1....5..2.8.7...1..7.1.8...4...51.2..513..87..9.8.4........2.5.......4.7........,25,37,18,0,0,1,0,1,0,Expert,
9....6.7816.2......7.....21...4.2...2...3..8....16...4...........8.47....3....467,25,37,19,2,0,0,0,0,0,Intermediate,
.1.3.64.8..........4...2531.8.4.......7...8..354....7.....6.24..2.71.3...3......5,27,36,18,1,0,3,0,0,0,Intermediate,
6...8............3...93.42.2.......64...29...5......1.8....2.....186..32..64..5.9,25,49,7,2,0,0,0,0,0,Intermediate,
.36...4.8...2....61..8....25......1.....4..2..67....5....68...7.8...7......3.5...,23,37,21,0,0,0,0,0,0,Easy,
...428....84...5.....3....9.3............165.86.2.....61...5............352186...,24,41,16,0,0,0,0,0,0,Easy,
.......83.1..8.9..49....1.21.2...3.4.8.....6.5.9........1..95..85.........3.5..18,26,53,6,0,0,1,2,3,2,Expert,
..1.5.6..7......1....3...852.......65..2.98.337.............26....9.8.........578,24,37,20,0,0,0,0,0,0,Easy,
.9.387..47...4..23....1....1..9.25.7.7......935.....1.9.......1.3.1.4...5...7....,27,65,15,1,0,1,0,6,6,Expert,
..4....6.3..64.....8.3....2.....2.4.7...89....98.......73....5.5...6........97...,22,55,8,1,1,0,1,2,2,Expert,
7.6.2...5......42339.....1........4257...........9.3........5.4.54.196..9...7....,25,46,10,0,0,0,0,0,0,Easy,
5...8...7...3.7......954.32.8...3.5....54..........98.94...21..8.....49.7........,25,50,6,0,0,0,0,0,0,Easy,
1..4.......6..8......217.......75.8.51.32....4..6......2....5.1....3..7..6..4...3,24,93,23,0,0,2,0,8,12,Expert,
..7.5..4345.9........13..6..98...7....58..41.1......39.7.......5...7......1.....8,25,39,17,0,0,0,0,0,0,Easy,
.43...9....9..537......7.484...18.....17...............3...1..498..74..3....9.6.5,26,31,24,0,0,0,0,0,0,Easy,
...6.....96.........8..5.1....57.1..7.4....9.........88...946..6.5..137..3....9..,24,30,27,0,0,0,0,0,0,Easy,
..4...7.......2......645...4.7..9..55.....2...9..34.1...3..6.7...615......142.3.6,27,54,0,0,0,0,0,0,0,Simple,
9...2357....8.54.1...9...232.3..7.....7......14.......7...3.15..9.......32.78....,27,41,13,0,0,0,0,0,0,Easy,
3.4..1.9..153.94.......5.8.......8..6..91.2....1.....54...8......9.36....68..2...,26,45,10,0,0,0,0,0,0,Easy,
..6.1.....18.....6.............936.1...82..9..2.5.1.84.9.....3.1...492..54..8..19,28,43,10,0,0,0,0,0,0,Easy,
4.1...38..........57....1428.71...53.3....4..1.2......38.4..2...6...7..8...8...3.,27,36,18,1,0,0,0,0,0,Intermediate,
........328....4....7....5...8..61..7.......6.14.7.5.8...4......3.....65..582...1,24,38,19,0,0,2,0,0,0,Intermediate,
..1......4..1..58....678..174.8.9.5...65.7.1..1........73....46....54.......3....,26,39,16,0,0,0,0,0,0,Easy,
.............785.....6328..31...5.79.97....5..8......6...8...3...9.61.25...257...,27,49,5,0,0,0,0,0,0,Easy,
.4..8.93...852...4....3...59.....5..47.1....2.12........7.4....1...9..2.83...7...,26,40,15,0,0,0,0,0,0,Easy,
36.....1..18..9.7...9.......2...1...97..6......5..7......3.........2.5.86578..13.,25,46,9,1,1,1,1,1,0,Expert,
..28.6...6..4...5....25...12....3.4...8......5.6..1..7345........1....7........6.,23,42,16,6,0,0,0,0,0,Intermediate,
...2..........3.1.7.1....6467.9....3.....6..72..7.869....4......3..2.....94..7...,24,35,22,0,0,0,0,0,0,Easy,
8..25........7.5..5...4.1.73.56......6.783..............3.....4..7531...61.8.....,25,56,0,0,0,0,0,0,0,Simple,
..........687..9...2..53.....69......593.....7...86.4.3..42....874...........7..3,24,40,17,0,0,0,0,0,0,Easy,
..54.76...........1.7.983..91.3....6.56..19.74......5...9.....88..5..........3...,25,50,6,0,0,0,0,0,0,Easy,
..5.2.4.8371.......8.....5...7.3.1.....9....2.4...539.25.....1...........13...9.7,25,50,6,0,2,0,1,0,0,Intermediate,
...81.....6..3....327.6....2...5..6.78...29...9....3.8.58.....7..2....5......6...,24,53,4,0,0,0,0,0,0,Easy,
3.....56.5....2......19......4..3......92....6...471..2.5....4......67....3.7125.,25,42,14,0,0,0,0,0,0,Easy,
....5..46......791.67....3.1...4..7.....1.4.9...6...134..18...5.9.....6...6..5...,26,41,13,1,2,2,0,1,0,Expert,
............1.7.8..872..95.6........7.2...6...5..73...2..73..9...5..6....6.5.8.72,26,40,13,0,1,1,0,2,0,Expert,
43..8..............895....4..59.8.12..2..54.8...12.6.36.3..1....5.3......2.6..5..,28,36,17,0,0,0,0,0,0,Easy,
5.2....3..6...41.....7......4.9.5..7.19..2..........49.35...7..7........62413....,25,40,16,0,0,0,0,0,0,Easy,
..64.82.3...32...7.....64..4.........7....9.4.6...283.92.8.....6....9....3.21....,26,45,9,2,2,1,0,1,0,Expert,
2.5.4.7.......2.6...758.3.2....5.418...3..27....6.85..8.24..6.....8...5......1..7,29,46,6,0,0,0,0,0,0,Easy,
.734.6..88.47.......239...4..1....9............8....164.7........6.1.3.9.2.....87,26,51,4,0,0,0,0,0,0,Easy,
1.5...........5..3......72..62...38.....7..4..734...1..261.3.7........34......2..,24,42,15,0,0,0,0,0,0,Easy,
.3....2..........8......37.6....7..331..29.5...81..9....6.3...2.25...1.7....1.5..,25,49,7,0,0,0,0,0,0,Easy,
..7..913..1..3..47........9.....4...63..7..........38.58.1.67..96..8....1...9....,25,31,24,1,0,0,0,1,0,Expert,
6.........9...4.....8.....3.4..2..85..1..62...3..5...9....189.....2.9....24.63.1.,25,53,12,2,0,0,0,2,2,Expert,
....8..6..9.4....5.3..1.7....4..9.3796...41..71..36..........51......8.....6..34.,26,44,11,0,0,0,0,0,0,Easy,
7....692.96.1...54.4...2....5.6...41..6...29.1..47.58.5.8....6.................7.,27,45,8,1,1,3,1,1,0,Expert,
.....16....6...837....8...4.............1.49..4.9387...3.1.92...64.23..8.17..43..,29,43,9,0,0,0,0,0,0,Easy,
1.958.6.......19.35.........8..3.2.......48........5.6.5...2...34...8.9.86145....,27,34,19,0,0,0,0,1,0,Expert,
81.7...2.......9.8..6........8..24.7..2.4....49..638...7.12.............92...4...,24,61,11,2,1,1,0,2,2,Expert,
..4.39.2...3.2.6.465.......78....35.........62.6....48......9.....7...6.96....532,27,45,8,0,0,0,0,1,0,Expert,
.......1....8.12.654...2.7.1.....6...59..4....2....8.5.641.8......67...9.....9...,25,40,16,0,0,0,0,0,0,Easy,
.9.5.476........42..........3.....25.4...2.31......6..92..6...73.571......7.9..5.,26,34,20,0,0,0,1,1,0,Expert,
.59...6.3....4..8.42...59......31.688.12..3.923.9.....94.........2.....56........,27,32,22,0,0,0,0,0,0,Easy,
9541......1.7..3...2.84.59.3........4..9...17.7............2..5......4......5.9.2,24,47,10,0,0,0,0,0,0,Easy,
6.83..2.1.15....4..3....5.6....5......32.71..5..64....7..1....21.67..4.8......7..,28,35,18,0,0,0,0,0,0,Easy,
76..31.95...5.7..1...8....3..3...6...........5.2......8...6.1.26.1...9....92..3..,25,52,4,0,0,0,0,0,0,Easy,
253.7.64.6..........8........1..47..5.....2...8..5.....658..13.124..5.8........7.,26,53,2,0,0,0,0,0,0,Easy,
..34.9...........5.94.5........6...8.7..2....45987.26....68.5...6....7.3....4....,25,38,18,0,0,0,0,0,0,Easy,
....37...3.....8.6...8.5...1...8..5..6...2.......9...2.2.1....8.71...92.68..59..3,26,49,13,0,0,0,1,2,2,Expert,
......6.....23....8135...2..6........4.615..31....8.....53...8...7..4...32.......,23,47,11,0,0,0,0,0,0,Easy,
.4.......17.36...569..1574.7...2.91......1...5..79..6....63....2..4.9.......72...,28,56,4,1,0,1,0,2,2,Expert,
..5......38..1..541........87.5.......3...9....4......61...4..3...9....6.4.38..15,24,41,16,1,0,0,0,0,0,Intermediate,
8..271......3...................7..19.4..325.1.29...8...58..9.24......18.....543.,26,47,8,1,0,0,0,0,0,Intermediate,
.2.....6.....3.2.8...1...3...6...3...738...9.......12..5...6.....9.2..561.8.7....,24,40,22,1,0,1,0,2,2,Expert,
3....2....58.9..1..24..5.3......6..4..1428.9.....1......38..5...4.3.16..6...5....,27,43,11,0,0,0,0,0,0,Easy,
..37..5..2.........1..5.43..2...73...4..2..........9.64...1.....71.....9.36....41,24,49,8,0,0,0,0,0,0,Easy,
...........153.68.3.8...97..3982....2.......6....6..12........77..693.........5..,24,54,3,0,0,0,0,0,0,Easy,
39..286...46.935...8.4............52..........3....98..65.3.841....1.....2....3.6,27,48,6,0,0,0,0,0,0,Easy,
...2......7....1.55....3..9......5.3...9.4.1.....2.6..75.....3....13....1.9..6.47,24,42,15,0,0,0,0,0,0,Easy,
5.....9.7.......219..2.....7.5.2..9.8..95...2.1..7.5...9..81....4....6..1..4.....,25,41,15,0,0,0,0,0,0,Easy,
...9....7...37.948..7..1.......8..5...1763......49.7...59.....1.8.....9.......63.,25,34,22,1,0,0,0,0,0,Intermediate,
...2..45....8...21.15.7.9..6..4.1..9.819...4.7.....8....9.......47..5.8..2.......,26,52,23,2,0,1,0,3,2,Expert,
5.7..69..3..7....8.8..4..6......84......14.....53........1...9.6...7...3.7..938..,25,38,18,0,0,0,0,0,0,Easy,
8...423...........43.67........86......2......12..3.65..67...3...1.....838.1..2..,25,47,9,0,0,0,0,0,0,Easy,
..641........8....91...57......9.5......56.1...417...6.9....45.4....2..8......9.1,25,38,24,0,0,0,0,2,2,Expert,
.21.........9.7...53.......4..7..6.3.....64.5..2.1...97..42.....9.3...........5.4,23,32,25,6,0,1,0,1,0,Expert,
.6...1..91....43........6..6..81.....97.....3..4.79....8.9..26....2....42.....8..,24,47,10,0,0,0,0,0,0,Easy,
...9..52......6....64...1.9.516.3...8....1..........8.9.3......5..81.6.2...2.....,23,51,7,0,0,0,0,0,0,Easy,
.9....3.......21..41.37.8...4..1....3..79.......5.........25..7.829..41..7.14..38,28,61,10,3,0,2,0,2,2,Expert,
..719.....9578...3..83....66...75....5.....18......6..8.......1976.....4.3.....8.,26,34,21,4,0,0,0,0,0,Intermediate,
..5.3.7..6...48..28...79............7.....286....6..7...3...5..4.7..2.....23...9.,24,40,16,1,1,1,0,1,0,Expert,
7...68..5.8...1...........2..9..7.2.1.2..965..3....7..65..7...19.......6..1.865.7,28,32,19,0,1,1,0,2,0,Expert,
..8...9........713.31...5.2.....9241.9..51..7....3..5.5..418........5.....7......,25,41,15,0,0,0,0,0,0,Easy,
.6..2.5.9..9.5...6.4....27.9..3..7.....5...2.4....8.......3..6.8...9...4.....4.8.,24,34,23,0,0,2,0,0,0,Intermediate,
..13.6..5.3..74...5..8.........6.5..7.3.....6.....3....4...1.2..1.68.74...2......,24,56,15,0,1,1,0,3,2,Expert,
...4...1.....35.7.....82...32.7.1.56.....87..1..6......64....252.1...6..73....48.,28,43,10,0,0,0,0,0,0,Easy,
..2....9..1..4..7....95...1..57..6..6......4.......7..5........9...2745...769..3.,24,38,19,2,0,0,0,0,0,Intermediate,
8.....2.........14...7....3...6.24...6.....81.9.1.8..6....96...7...3..9.2..4.....,23,75,18,1,3,8,1,3,2,Expert,
...1..2..59.34...6.6......33.54....9..493..85.29...6.....82..6.........8.....5.9.,27,41,13,0,0,0,0,0,0,Easy,
.5.8....9914..3.....6....1..2...91.6.63...2..8............9542...1...6.....68...3,26,31,24,1,0,0,0,0,0,Intermediate,
.....5.8.41...2.65..5.3.9...53...6..8..12.......8...429....8.....4.1.........9.3.,25,34,22,0,0,0,0,0,0,Easy,
....2.6....65.....21.....53...31.........69..5.1.42.6..3...8....9.....18...6.5...,24,33,24,0,0,0,0,0,0,Easy,
..3....8....5......56..2.1.1.......4...2.3...2...8536.....78.5.6..4.12.....6....7,25,50,6,0,0,0,0,0,0,Easy,
98.61......4.9.7.6.2..4..8......42...6.8.....2.9.....5...1....8..5....27..1...4..,25,42,23,1,1,4,1,5,2,Expert,
9.26....3.....5..8.64....2.6..5..842...............95......83..54...31......9..6.,24,39,18,0,0,0,0,0,0,Easy,
.3..9..87..6..5.1..79...3.....2..9....7...86.2.........6....1......67538.8..21...,26,46,8,1,0,1,0,1,0,Expert,
.....6..7.748......69...5.....93..8....6.5...2.5....4.....4.....9......2...257.3.,23,33,25,0,0,0,0,0,0,Easy,
.9....6..6...9..8.8.364...5..4....3................746452...3...3.5.8....7.2.....,24,40,16,1,0,0,0,1,0,Expert,
